Date,Category,Category ID,Exercise,Exercise ID,Weight,Sets,Reps,VOLUME,Hypertrophy/Strength,Workout Type ID,E1RM,E1RM %,,Category,Category ID
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
1/14/2023,Rest,0,Rest,0,0,0,0,0,Rest,0,0,#DIV/0!,,,
1/15/2023,Rest,0,Rest,0,0,0,0,0,Rest,0,0,#DIV/0!,,,
1/16/2023,Push,1,Incline Bench Press,2,135,1,8,1080,Strength,1,171,78.94736842,,,
1/16/2023,Push,1,Incline Bench Press,2,185,2,6,2220,Strength,1,222,83.33333333,,,
1/16/2023,Push,1,Incline Bench Press,2,0,0,0,0,Strength,1,0,#DIV/0!,,,
1/16/2023,Push,1,Overhead Press,3,45,1,8,360,Strength,1,57,78.94736842,,,
1/16/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
1/16/2023,Push,1,Overhead Press,3,135,2,5,1350,Strength,1,157.5,85.71428571,,,
1/17/2023,Pull,2,Pull Ups,5,180,3,10,5400,Strength,1,240,75,,,
1/17/2023,Pull,2,Pull Ups,5,215,1,6,1290,Strength,1,258,83.33333333,,,
1/17/2023,Pull,2,Pull Ups,5,225,1,4,900,Strength,1,255,88.23529412,,,
1/17/2023,Pull,2,Deadlift,4,135,1,5,675,Strength,1,157.5,85.71428571,,,
1/17/2023,Pull,2,Deadlift,4,225,1,5,1125,Strength,1,262.5,85.71428571,,,
1/17/2023,Pull,2,Deadlift,4,315,1,5,1575,Strength,1,367.5,85.71428571,,,
1/17/2023,Pull,2,Deadlift,4,405,3,5,6075,Strength,1,472.5,85.71428571,,,
1/18/2023,Legs,3,Barbell Squat,7,135,1,8,1080,Strength,1,171,78.94736842,,,
1/18/2023,Legs,3,Barbell Squat,7,225,2,8,3600,Strength,1,285,78.94736842,,,
1/18/2023,Legs,3,Barbell Squat,7,315,1,5,1575,Strength,1,367.5,85.71428571,,,
1/18/2023,Legs,3,Barbell Squat,7,365,1,3,1095,Strength,1,401.5,90.90909091,,,
1/18/2023,Legs,3,Barbell Squat,7,385,1,2,770,Strength,1,410.6666667,93.75,,,
1/19/2023,Push,1,Flat Bench Press,1,135,1,8,1080,Strength,1,171,78.94736842,,,
1/19/2023,Push,1,Flat Bench Press,1,185,1,7,1295,Strength,1,228.1666667,81.08108108,,,
1/19/2023,Push,1,Flat Bench Press,1,205,2,6,2460,Strength,1,246,83.33333333,,,
1/19/2023,Push,1,Overhead Press,3,45,1,8,360,Strength,1,57,78.94736842,,,
1/19/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
1/19/2023,Push,1,Overhead Press,3,135,2,5,1350,Strength,1,157.5,85.71428571,,,
1/20/2023,Pull,2,Barbell Row,6,135,1,8,1080,Strength,1,171,78.94736842,,,
1/20/2023,Pull,2,Barbell Row,6,185,1,8,1480,Strength,1,234.3333333,78.94736842,,,
1/20/2023,Pull,2,Barbell Row,6,195,2,6,2340,Strength,1,234,83.33333333,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
1/21/2023,Rest,0,Rest,0,0,0,0,0,Rest,0,0,#DIV/0!,,,
1/22/2023,Rest,0,Rest,0,0,0,0,0,Rest,0,0,#DIV/0!,,,
1/23/2023,Push,1,Incline Bench Press,2,135,1,8,1080,Strength,1,171,78.94736842,,,
1/23/2023,Push,1,Incline Bench Press,2,185,2,6,2220,Strength,1,222,83.33333333,,,
1/23/2023,Push,1,Incline Bench Press,2,0,0,0,0,Strength,1,0,#DIV/0!,,,
1/23/2023,Push,1,Overhead Press,3,45,1,8,360,Strength,1,57,78.94736842,,,
1/23/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
1/23/2023,Push,1,Overhead Press,3,135,2,5,1350,Strength,1,157.5,85.71428571,,,
1/24/2023,Pull,2,Pull Ups,5,180,3,10,5400,Strength,1,240,75,,,
1/24/2023,Pull,2,Pull Ups,5,215,1,6,1290,Strength,1,258,83.33333333,,,
1/24/2023,Pull,2,Pull Ups,5,225,1,4,900,Strength,1,255,88.23529412,,,
1/24/2023,Pull,2,Deadlift,4,135,1,5,675,Strength,1,157.5,85.71428571,,,
1/24/2023,Pull,2,Deadlift,4,225,1,5,1125,Strength,1,262.5,85.71428571,,,
1/24/2023,Pull,2,Deadlift,4,315,1,5,1575,Strength,1,367.5,85.71428571,,,
1/24/2023,Pull,2,Deadlift,4,405,3,5,6075,Strength,1,472.5,85.71428571,,,
1/25/2023,Legs,3,Barbell Squat,7,135,1,8,1080,Strength,1,171,78.94736842,,,
1/25/2023,Legs,3,Barbell Squat,7,225,2,8,3600,Strength,1,285,78.94736842,,,
1/25/2023,Legs,3,Barbell Squat,7,315,1,5,1575,Strength,1,367.5,85.71428571,,,
1/25/2023,Legs,3,Barbell Squat,7,365,1,3,1095,Strength,1,401.5,90.90909091,,,
1/25/2023,Legs,3,Barbell Squat,7,385,1,2,770,Strength,1,410.6666667,93.75,,,
1/26/2023,Push,1,Flat Bench Press,1,135,1,8,1080,Strength,1,171,78.94736842,,,
1/26/2023,Push,1,Flat Bench Press,1,185,1,7,1295,Strength,1,228.1666667,81.08108108,,,
1/26/2023,Push,1,Flat Bench Press,1,205,2,6,2460,Strength,1,246,83.33333333,,,
1/26/2023,Push,1,Overhead Press,3,45,1,8,360,Strength,1,57,78.94736842,,,
1/26/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
1/26/2023,Push,1,Overhead Press,3,135,2,5,1350,Strength,1,157.5,85.71428571,,,
1/27/2023,Pull,2,Barbell Row,6,135,1,8,1080,Strength,1,171,78.94736842,,,
1/27/2023,Pull,2,Barbell Row,6,185,1,8,1480,Strength,1,234.3333333,78.94736842,,,
1/27/2023,Pull,2,Barbell Row,6,195,2,6,2340,Strength,1,234,83.33333333,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
1/28/2023,Rest,0,Rest,0,0,0,0,0,Rest,0,0,#DIV/0!,,,
1/29/2023,Rest,0,Rest,0,0,0,0,0,Rest,0,0,#DIV/0!,,,
1/30/2023,Push,1,Incline Bench Press,2,135,1,8,1080,Strength,1,171,78.94736842,,,
1/30/2023,Push,1,Incline Bench Press,2,185,2,6,2220,Strength,1,222,83.33333333,,,
1/30/2023,Push,1,Incline Bench Press,2,0,0,0,0,Strength,1,0,#DIV/0!,,,
1/30/2023,Push,1,Overhead Press,3,45,1,8,360,Strength,1,57,78.94736842,,,
1/30/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
1/30/2023,Push,1,Overhead Press,3,135,2,6,1620,Strength,1,162,83.33333333,,,
1/31/2023,Pull,2,Pull Ups,5,180,3,10,5400,Strength,1,240,75,,,
1/31/2023,Pull,2,Pull Ups,5,215,1,6,1290,Strength,1,258,83.33333333,,,
1/31/2023,Pull,2,Deadlift,4,135,1,5,675,Strength,1,157.5,85.71428571,,,
1/31/2023,Pull,2,Deadlift,4,225,1,5,1125,Strength,1,262.5,85.71428571,,,
1/31/2023,Pull,2,Deadlift,4,315,1,5,1575,Strength,1,367.5,85.71428571,,,
1/31/2023,Pull,2,Deadlift,4,405,3,5,6075,Strength,1,472.5,85.71428571,,,
2/1/2023,Legs,3,Barbell Squat,7,135,1,8,1080,Strength,1,171,78.94736842,,,
2/1/2023,Legs,3,Barbell Squat,7,225,2,8,3600,Strength,1,285,78.94736842,,,
2/1/2023,Legs,3,Barbell Squat,7,315,1,5,1575,Strength,1,367.5,85.71428571,,,
2/1/2023,Legs,3,Barbell Squat,7,365,1,3,1095,Strength,1,401.5,90.90909091,,,
2/1/2023,Legs,3,Barbell Squat,7,385,1,2,770,Strength,1,410.6666667,93.75,,,
2/2/2023,Push,1,Flat Bench Press,1,135,1,8,1080,Strength,1,171,78.94736842,,,
2/2/2023,Push,1,Flat Bench Press,1,185,1,7,1295,Strength,1,228.1666667,81.08108108,,,
2/2/2023,Push,1,Flat Bench Press,1,205,2,6,2460,Strength,1,246,83.33333333,,,
2/2/2023,Push,1,Overhead Press,3,45,1,8,360,Strength,1,57,78.94736842,,,
2/2/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
2/2/2023,Push,1,Overhead Press,3,135,2,6,1620,Strength,1,162,83.33333333,,,
2/3/2023,Pull,2,Barbell Row,6,135,1,8,1080,Strength,1,171,78.94736842,,,
2/3/2023,Pull,2,Barbell Row,6,185,1,8,1480,Strength,1,234.3333333,78.94736842,,,
2/3/2023,Pull,2,Barbell Row,6,205,2,6,2460,Strength,1,246,83.33333333,,,
2/4/2023,Legs,3,Barbell Squat,7,135,1,8,1080,Strength,1,171,78.94736842,,,
2/4/2023,Legs,3,Barbell Squat,7,225,2,8,3600,Strength,1,285,78.94736842,,,
2/4/2023,Legs,3,Barbell Squat,7,315,2,5,3150,Strength,1,367.5,85.71428571,,,
2/4/2023,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
2/4/2023,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
2/5/2023,Rest,0,Rest,0,0,0,0,0,Rest,0,0,#DIV/0!,,,
2/6/2023,Push,1,Incline Bench Press,2,135,1,8,1080,Strength,1,171,78.94736842,,,
2/6/2023,Push,1,Incline Bench Press,2,185,2,6,2220,Strength,1,222,83.33333333,,,
2/6/2023,Push,1,Incline Bench Press,2,0,0,0,0,Strength,1,0,#DIV/0!,,,
2/6/2023,Push,1,Overhead Press,3,45,1,8,360,Strength,1,57,78.94736842,,,
2/6/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
2/6/2023,Push,1,Overhead Press,3,135,2,6,1620,Strength,1,162,83.33333333,,,
2/7/2023,Pull,2,Pull Ups,5,180,3,10,5400,Strength,1,240,75,,,
2/7/2023,Pull,2,Pull Ups,5,215,1,6,1290,Strength,1,258,83.33333333,,,
2/7/2023,Pull,2,Pull Ups,5,225,1,4,900,Strength,1,255,88.23529412,,,
2/7/2023,Pull,2,Deadlift,4,135,1,5,675,Strength,1,157.5,85.71428571,,,
2/7/2023,Pull,2,Deadlift,4,225,1,5,1125,Strength,1,262.5,85.71428571,,,
2/7/2023,Pull,2,Deadlift,4,315,1,5,1575,Strength,1,367.5,85.71428571,,,
2/7/2023,Pull,2,Deadlift,4,405,3,5,6075,Strength,1,472.5,85.71428571,,,
2/8/2023,Legs,3,Barbell Squat,7,135,1,8,1080,Strength,1,171,78.94736842,,,
2/8/2023,Legs,3,Barbell Squat,7,225,2,8,3600,Strength,1,285,78.94736842,,,
2/8/2023,Legs,3,Barbell Squat,7,315,1,5,1575,Strength,1,367.5,85.71428571,,,
2/8/2023,Legs,3,Barbell Squat,7,365,1,3,1095,Strength,1,401.5,90.90909091,,,
2/8/2023,Legs,3,Barbell Squat,7,385,1,2,770,Strength,1,410.6666667,93.75,,,
2/9/2023,Push,1,Flat Bench Press,1,135,1,8,1080,Strength,1,171,78.94736842,,,
2/9/2023,Push,1,Flat Bench Press,1,185,1,7,1295,Strength,1,228.1666667,81.08108108,,,
2/9/2023,Push,1,Flat Bench Press,1,205,2,6,2460,Strength,1,246,83.33333333,,,
2/9/2023,Push,1,Overhead Press,3,45,1,8,360,Strength,1,57,78.94736842,,,
2/9/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
2/9/2023,Push,1,Overhead Press,3,135,2,6,1620,Strength,1,162,83.33333333,,,
2/10/2023,Pull,2,Barbell Row,6,135,1,8,1080,Strength,1,171,78.94736842,,,
2/10/2023,Pull,2,Barbell Row,6,185,1,8,1480,Strength,1,234.3333333,78.94736842,,,
2/10/2023,Pull,2,Barbell Row,6,205,2,6,2460,Strength,1,246,83.33333333,,,
2/11/2023,Legs,3,Barbell Squat,7,135,1,8,1080,Strength,1,171,78.94736842,,,
2/11/2023,Legs,3,Barbell Squat,7,225,2,8,3600,Strength,1,285,78.94736842,,,
2/11/2023,Legs,3,Barbell Squat,7,315,2,5,3150,Strength,1,367.5,85.71428571,,,
2/11/2023,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
2/11/2023,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
2/12/2023,Rest,0,Rest,0,0,0,0,0,Rest,0,0,#DIV/0!,,,
2/13/2023,Push,1,Incline Bench Press,2,135,1,8,1080,Strength,1,171,78.94736842,,,
2/13/2023,Push,1,Incline Bench Press,2,185,2,5,1850,Strength,1,215.8333333,85.71428571,,,
2/13/2023,Push,1,Incline Bench Press,2,195,2,3,1170,Strength,1,214.5,90.90909091,,,
2/13/2023,Push,1,Overhead Press,3,45,1,8,360,Strength,1,57,78.94736842,,,
2/13/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
2/13/2023,Push,1,Overhead Press,3,135,2,6,1620,Strength,1,162,83.33333333,,,
2/14/2023,Pull,2,Pull Ups,5,180,3,10,5400,Strength,1,240,75,,,
2/14/2023,Pull,2,Pull Ups,5,215,1,6,1290,Strength,1,258,83.33333333,,,
2/14/2023,Pull,2,Pull Ups,5,225,1,4,900,Strength,1,255,88.23529412,,,
2/14/2023,Pull,2,Deadlift,4,135,1,5,675,Strength,1,157.5,85.71428571,,,
2/14/2023,Pull,2,Deadlift,4,225,1,5,1125,Strength,1,262.5,85.71428571,,,
2/14/2023,Pull,2,Deadlift,4,315,1,5,1575,Strength,1,367.5,85.71428571,,,
2/14/2023,Pull,2,Deadlift,4,405,3,5,6075,Strength,1,472.5,85.71428571,,,
2/15/2023,Legs,3,Barbell Squat,7,135,1,8,1080,Strength,1,171,78.94736842,,,
2/15/2023,Legs,3,Barbell Squat,7,225,2,8,3600,Strength,1,285,78.94736842,,,
2/15/2023,Legs,3,Barbell Squat,7,315,1,5,1575,Strength,1,367.5,85.71428571,,,
2/15/2023,Legs,3,Barbell Squat,7,365,1,3,1095,Strength,1,401.5,90.90909091,,,
2/15/2023,Legs,3,Barbell Squat,7,385,1,2,770,Strength,1,410.6666667,93.75,,,
2/16/2023,Push,1,Flat Bench Press,1,135,1,8,1080,Strength,1,171,78.94736842,,,
2/16/2023,Push,1,Flat Bench Press,1,185,1,7,1295,Strength,1,228.1666667,81.08108108,,,
2/16/2023,Push,1,Flat Bench Press,1,205,2,6,2460,Strength,1,246,83.33333333,,,
2/16/2023,Push,1,Overhead Press,3,45,1,8,360,Strength,1,57,78.94736842,,,
2/16/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
2/16/2023,Push,1,Overhead Press,3,135,2,6,1620,Strength,1,162,83.33333333,,,
2/17/2023,Pull,2,Barbell Row,6,135,1,8,1080,Strength,1,171,78.94736842,,,
2/17/2023,Pull,2,Barbell Row,6,185,1,8,1480,Strength,1,234.3333333,78.94736842,,,
2/17/2023,Pull,2,Barbell Row,6,205,2,6,2460,Strength,1,246,83.33333333,,,
2/18/2023,Legs,3,Barbell Squat,7,135,1,8,1080,Strength,1,171,78.94736842,,,
2/18/2023,Legs,3,Barbell Squat,7,225,2,8,3600,Strength,1,285,78.94736842,,,
